Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]"
1992,YR1992,Andorra,AND,410,57283,..
1992,YR1992,Austria,AUT,57660,7840709,38774.4902606316
1992,YR1992,Belgium,BEL,112330,10045158,36426.9931547081
1992,YR1992,Croatia,HRV,15040,4575818,..
1992,YR1992,Cyprus,CYP,5480,810431,26386.578125
1992,YR1992,Czechia,CZE,134140,10319123,20768.7881664466
1992,YR1992,Denmark,DNK,57030,5171370,40108.8919453015
1992,YR1992,Estonia,EST,23820,1533091,..
1992,YR1992,Finland,FIN,52280,5041992,29648.7439434243
1992,YR1992,France,FRA,368590,58849943,34269.2834434525
1992,YR1992,Germany,DEU,892820,80624598,38734.9384083447
1992,YR1992,Greece,GRC,78180,10399061,24700.1305911615
1992,YR1992,Hungary,HUN,58000,10369341,15932.4996239844
1992,YR1992,Iceland,ISL,1940,261057,..
1992,YR1992,Ireland,IRL,31510,3558430,27780.2292534741
1992,YR1992,Italy,ITA,402270,56797087,37407.1113238593
1992,YR1992,Liechtenstein,LIE,210,29581,..
1992,YR1992,Lithuania,LTU,19980,3700114,..
1992,YR1992,Luxembourg,LUX,11440,392175,76323.3047532824
1992,YR1992,Netherlands,NLD,153250,15184166,37405.9299673421
1992,YR1992,Norway,NOR,30200,4286401,44517.4357160017
1992,YR1992,Poland,POL,343370,38363667,10662.0805170735
1992,YR1992,Portugal,PRT,46770,9952494,24930.4506344601
1992,YR1992,Romania,ROU,126190,22794284,10816.9337179519
1992,YR1992,San Marino,SMR,..,23808,..
1992,YR1992,Slovak Republic,SVK,46100,5305016,11663.992330789
1992,YR1992,Slovenia,SVN,12830,1996498,..
1992,YR1992,Spain,ESP,232370,39157685,28280.3260908948
1992,YR1992,Sweden,SWE,56750,8668067,32953.6182903423
1992,YR1992,Switzerland,CHE,45700,6875364,55123.8383797844
1992,YR1992,United Kingdom,GBR,557890,57580402,31134.0426021928
1993,YR1993,Andorra,AND,410,59156,..
1993,YR1993,Austria,AUT,57800,7905633,38658.6497800224
1993,YR1993,Belgium,BEL,110110,10084475,35935.9573927225
1993,YR1993,Croatia,HRV,15540,4600463,..
1993,YR1993,Cyprus,CYP,5740,825986,25937.3125
1993,YR1993,Czechia,CZE,130980,10329855,20760.0542509881
1993,YR1993,Denmark,DNK,59360,5188628,39979.7573849561
1993,YR1993,Estonia,EST,18340,1494128,..
1993,YR1993,Finland,FIN,53460,5066447,29310.3070704183
1993,YR1993,France,FRA,349420,59106166,33906.2218602936
1993,YR1993,Germany,DEU,887060,81156363,38105.2306021284
1993,YR1993,Greece,GRC,78090,10460415,24162.3715328916
1993,YR1993,Hungary,HUN,58380,10357523,15858.7854892973
1993,YR1993,Iceland,ISL,1980,263725,..
1993,YR1993,Ireland,IRL,31650,3576261,28386.0024217672
1993,YR1993,Italy,ITA,396930,56831821,37065.4341248987
1993,YR1993,Liechtenstein,LIE,220,30012,..
1993,YR1993,Lithuania,LTU,15740,3682613,..
1993,YR1993,Luxembourg,LUX,11650,397475,78468.9217598348
1993,YR1993,Netherlands,NLD,158150,15290368,37613.2521936233
1993,YR1993,Norway,NOR,32430,4311991,45512.3902170491
1993,YR1993,Poland,POL,344020,38461408,11032.5539913076
1993,YR1993,Portugal,PRT,45790,9964675,24391.1998484727
1993,YR1993,Romania,ROU,117700,22763280,10997.264832961
1993,YR1993,San Marino,SMR,..,24181,..
1993,YR1993,Slovak Republic,SVK,44320,5325305,11840.4792595749
1993,YR1993,Slovenia,SVN,13560,1991746,..
1993,YR1993,Spain,ESP,218080,39361262,27843.8593467468
1993,YR1993,Sweden,SWE,56500,8718561,32086.0126428301
1993,YR1993,Switzerland,CHE,43450,6938265,54555.2787822444
1993,YR1993,United Kingdom,GBR,541380,57718614,31832.8183481179
1994,YR1994,Andorra,AND,410,61037,..
1994,YR1994,Austria,AUT,58280,7936118,39435.210024783
1994,YR1994,Belgium,BEL,114900,10115603,36981.4489459975
1994,YR1994,Croatia,HRV,14870,4652024,..
1994,YR1994,Cyprus,CYP,5980,844444,26905.345703125
1994,YR1994,Czechia,CZE,124710,10333587,21356.3127969696
1994,YR1994,Denmark,DNK,63200,5206180,41969.6887111547
1994,YR1994,Estonia,EST,17820,1462514,..
1994,YR1994,Finland,FIN,59930,5088333,30340.8238404135
1994,YR1994,France,FRA,344400,59327585,34576.319428202
1994,YR1994,Germany,DEU,875900,81438348,38881.5691219288
1994,YR1994,Greece,GRC,79730,10512922,24522.5259874915
1994,YR1994,Hungary,HUN,57780,10343355,16348.5314766891
1994,YR1994,Iceland,ISL,2090,266021,..
1994,YR1994,Ireland,IRL,32820,3590386,29901.750009353
1994,YR1994,Italy,ITA,392290,56843400,37855.0077387082
1994,YR1994,Liechtenstein,LIE,200,30447,..
1994,YR1994,Lithuania,LTU,14810,3657144,..
1994,YR1994,Luxembourg,LUX,10810,402925,80365.2245079687
1994,YR1994,Netherlands,NLD,157260,15382838,38494.2178517725
1994,YR1994,Norway,NOR,34410,4336613,47541.7667101406
1994,YR1994,Poland,POL,339750,38542652,11591.9988643683
1994,YR1994,Portugal,PRT,47300,9991525,24560.3570613836
1994,YR1994,Romania,ROU,115160,22730211,11446.2994209836
1994,YR1994,San Marino,SMR,..,24535,..
1994,YR1994,Slovak Republic,SVK,41700,5346331,12525.7880943071
1994,YR1994,Slovenia,SVN,13610,1989443,..
1994,YR1994,Spain,ESP,228450,39549108,28372.0314344106
1994,YR1994,Sweden,SWE,58490,8780745,33110.8255761839
1994,YR1994,Switzerland,CHE,42590,6993795,54809.335298076
1994,YR1994,United Kingdom,GBR,535180,57865745,32973.0595774302
1995,YR1995,Andorra,AND,430,62928,..
1995,YR1995,Austria,AUT,61180,7948278,40425.3937190819
1995,YR1995,Belgium,BEL,114570,10136811,37784.149887365
1995,YR1995,Croatia,HRV,15460,4620030,15070.8552651381
1995,YR1995,Cyprus,CYP,5850,862418,28631.46875
1995,YR1995,Czechia,CZE,125180,10327253,22758.5968118404
1995,YR1995,Denmark,DNK,60000,5233373,43015.6775097607
1995,YR1995,Estonia,EST,16260,1436634,12730.7174142214
1995,YR1995,Finland,FIN,56090,5107790,31499.80577579
1995,YR1995,France,FRA,352240,59543659,35176.6221101421
1995,YR1995,Germany,DEU,874660,81678051,39366.0886366488
1995,YR1995,Greece,GRC,82830,10562153,24920.72893517
1995,YR1995,Hungary,HUN,57430,10328965,16615.1625534699
1995,YR1995,Iceland,ISL,2000,267468,33666.1804992579
1995,YR1995,Ireland,IRL,33450,3608841,32614.9661080609
1995,YR1995,Italy,ITA,416420,56844303,38947.2013118497
1995,YR1995,Liechtenstein,LIE,200,30890,..
1995,YR1995,Lithuania,LTU,13740,3629102,10640.3600314613
1995,YR1995,Luxembourg,LUX,8660,408625,80379.1276289992
1995,YR1995,Netherlands,NLD,164110,15459006,39498.1368221301
1995,YR1995,Norway,NOR,34390,4359184,49260.9695215676
1995,YR1995,Poland,POL,340000,38594998,12398.5241269417
1995,YR1995,Portugal,PRT,50690,10026176,25523.7060223176
1995,YR1995,Romania,ROU,120880,22684270,12184.4322862025
1995,YR1995,San Marino,SMR,..,24886,..
1995,YR1995,Slovak Republic,SVK,42370,5361999,13218.9921162575
1995,YR1995,Slovenia,SVN,14470,1989872,21480.327975747
1995,YR1995,Spain,ESP,240570,39724050,29025.9945784136
1995,YR1995,Sweden,SWE,58230,8826939,34233.7027776288
1995,YR1995,Switzerland,CHE,43440,7040687,54706.1015073424
1995,YR1995,United Kingdom,GBR,526810,58019030,33718.5090841434
1996,YR1996,Andorra,AND,450,64147,..
1996,YR1996,Austria,AUT,64900,7959017,41319.3749974645
1996,YR1996,Belgium,BEL,119450,10156637,38208.7186734905
1996,YR1996,Croatia,HRV,15260,4557097,16234.405553222
1996,YR1996,Cyprus,CYP,6210,880058,28530.576171875
1996,YR1996,Czechia,CZE,126740,10315241,23756.9783859253
1996,YR1996,Denmark,DNK,73340,5263074,44013.3855851544
1996,YR1996,Estonia,EST,17200,1415594,13558.5685292989
1996,YR1996,Finland,FIN,62570,5124573,32548.0151553704
1996,YR1996,France,FRA,367900,59756533,35546.5832844174
1996,YR1996,Germany,DEU,904340,81914831,39568.6024740843
1996,YR1996,Greece,GRC,82750,10608800,25521.2793744832
1996,YR1996,Hungary,HUN,58450,10311238,16657.4438558668
1996,YR1996,Iceland,ISL,2270,268916,35014.1990887885
1996,YR1996,Ireland,IRL,34820,3637510,34745.803883287
1996,YR1996,Italy,ITA,412150,56860281,39429.4955552037
1996,YR1996,Liechtenstein,LIE,210,31337,..
1996,YR1996,Lithuania,LTU,14230,3601613,11274.6401082973
1996,YR1996,Luxembourg,LUX,8740,414225,80401.0320167454
1996,YR1996,Netherlands,NLD,173620,15530498,40691.8903167389
1996,YR1996,Norway,NOR,34600,4381336,51476.1992154047
1996,YR1996,Poland,POL,355320,38624370,13146.7560855391
1996,YR1996,Portugal,PRT,48740,10063945,26318.9751263398
1996,YR1996,Romania,ROU,124210,22619004,12697.0950214738
1996,YR1996,San Marino,SMR,..,25235,..
1996,YR1996,Slovak Republic,SVK,42170,5373361,14064.2739294874
1996,YR1996,Slovenia,SVN,15290,1988628,22182.2116895007
1996,YR1996,Spain,ESP,230110,39889852,29674.392750146
1996,YR1996,Sweden,SWE,63650,8840998,34719.1107469171
1996,YR1996,Switzerland,CHE,44010,7071850,54721.7149782014
1996,YR1996,United Kingdom,GBR,545480,58166950,34274.4103004204
1997,YR1997,Andorra,AND,470,64682,..
1997,YR1997,Austria,AUT,64220,7968041,42136.6622802741
1997,YR1997,Belgium,BEL,116630,10181245,39562.3729801955
1997,YR1997,Croatia,HRV,17070,4534920,17320.8777002177
1997,YR1997,Cyprus,CYP,6300,897471,28871.865234375
1997,YR1997,Czechia,CZE,124790,10304131,23659.3207939067
1997,YR1997,Denmark,DNK,63650,5284991,45260.1371186812
1997,YR1997,Estonia,EST,16770,1399535,15503.8448315578
1997,YR1997,Finland,FIN,60620,5139835,34506.7718790729
1997,YR1997,France,FRA,359070,59969944,36247.6042941415
1997,YR1997,Germany,DEU,872650,82034771,40218.8468799392
1997,YR1997,Greece,GRC,83760,10661259,26534.4950478701
1997,YR1997,Hungary,HUN,56990,10290486,17215.6552344826
1997,YR1997,Iceland,ISL,2150,271128,36732.9319274562
1997,YR1997,Ireland,IRL,35970,3674171,38190.4980640358
1997,YR1997,Italy,ITA,415520,56890372,40129.9018819235
1997,YR1997,Liechtenstein,LIE,220,31770,..
1997,YR1997,Lithuania,LTU,13920,3575137,12302.1012042126
1997,YR1997,Luxembourg,LUX,8240,419450,83702.8135298171
1997,YR1997,Netherlands,NLD,166310,15610650,42235.4890688287
1997,YR1997,Norway,NOR,36540,4405157,53903.4378206491
1997,YR1997,Poland,POL,344630,38649660,13985.4335763903
1997,YR1997,Portugal,PRT,50930,10108977,27354.8368117354
1997,YR1997,Romania,ROU,113610,22553978,12116.237151844
1997,YR1997,San Marino,SMR,..,25596,66407.5139212185
1997,YR1997,Slovak Republic,SVK,42270,5383291,14870.2196437424
1997,YR1997,Slovenia,SVN,15730,1985956,23333.7196815717
1997,YR1997,Spain,ESP,248600,40057389,30644.3794443942
1997,YR1997,Sweden,SWE,57380,8846062,35764.6847640308
