Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT]
1992,YR1992,Andorra,AND,57283,..,410
1992,YR1992,Austria,AUT,7840709,38774.4902606316,57660
1992,YR1992,Belgium,BEL,10045158,36426.9931547081,112330
1992,YR1992,Croatia,HRV,4575818,..,15040
1992,YR1992,Czechia,CZE,10319123,20768.7881664466,134140
1992,YR1992,Denmark,DNK,5171370,40108.8919453015,57030
1992,YR1992,Estonia,EST,1533091,..,23820
1992,YR1992,Finland,FIN,5041992,29648.7439434243,52280
1992,YR1992,France,FRA,58849943,34269.2834434525,368590
1992,YR1992,Germany,DEU,80624598,38734.9384083447,892820
1992,YR1992,Greece,GRC,10399061,24700.1305911615,78180
1992,YR1992,Greenland,GRL,55300,..,..
1992,YR1992,Hungary,HUN,10369341,15932.4996239844,58000
1992,YR1992,Iceland,ISL,261057,..,1940
1992,YR1992,Ireland,IRL,3558430,27780.2292534741,31510
1992,YR1992,Italy,ITA,56797087,37407.1113238593,402270
1992,YR1992,Latvia,LVA,2614338,..,13970
1992,YR1992,Liechtenstein,LIE,29581,..,210
1992,YR1992,Lithuania,LTU,3700114,..,19980
1992,YR1992,Luxembourg,LUX,392175,76323.3047532824,11440
1992,YR1992,Monaco,MCO,30794,..,..
1992,YR1992,Netherlands,NLD,15184166,37405.9299673421,153250
1992,YR1992,Norway,NOR,4286401,44517.4357160017,30200
1992,YR1992,Poland,POL,38363667,10662.0805170735,343370
1992,YR1992,Portugal,PRT,9952494,24930.4506344601,46770
1992,YR1992,Romania,ROU,22794284,10816.9337179519,126190
1992,YR1992,San Marino,SMR,23808,..,..
1992,YR1992,Slovak Republic,SVK,5305016,11663.992330789,46100
1992,YR1992,Slovenia,SVN,1996498,..,12830
1992,YR1992,Spain,ESP,39157685,28280.3260908948,232370
1992,YR1992,Sweden,SWE,8668067,32953.6182903423,56750
1992,YR1992,Switzerland,CHE,6875364,55123.8383797844,45700
1992,YR1992,United Kingdom,GBR,57580402,31134.0426021928,557890
1993,YR1993,Andorra,AND,59156,..,410
1993,YR1993,Austria,AUT,7905633,38658.6497800224,57800
1993,YR1993,Belgium,BEL,10084475,35935.9573927225,110110
1993,YR1993,Croatia,HRV,4600463,..,15540
1993,YR1993,Czechia,CZE,10329855,20760.0542509881,130980
1993,YR1993,Denmark,DNK,5188628,39979.7573849561,59360
1993,YR1993,Estonia,EST,1494128,..,18340
1993,YR1993,Finland,FIN,5066447,29310.3070704183,53460
1993,YR1993,France,FRA,59106166,33906.2218602936,349420
1993,YR1993,Germany,DEU,81156363,38105.2306021284,887060
1993,YR1993,Greece,GRC,10460415,24162.3715328916,78090
1993,YR1993,Greenland,GRL,55200,..,..
1993,YR1993,Hungary,HUN,10357523,15858.7854892973,58380
1993,YR1993,Iceland,ISL,263725,..,1980
1993,YR1993,Ireland,IRL,3576261,28386.0024217672,31650
1993,YR1993,Italy,ITA,56831821,37065.4341248987,396930
1993,YR1993,Latvia,LVA,2563290,..,11760
1993,YR1993,Liechtenstein,LIE,30012,..,220
1993,YR1993,Lithuania,LTU,3682613,..,15740
1993,YR1993,Luxembourg,LUX,397475,78468.9217598348,11650
1993,YR1993,Monaco,MCO,31024,..,..
1993,YR1993,Netherlands,NLD,15290368,37613.2521936233,158150
1993,YR1993,Norway,NOR,4311991,45512.3902170491,32430
1993,YR1993,Poland,POL,38461408,11032.5539913076,344020
1993,YR1993,Portugal,PRT,9964675,24391.1998484727,45790
1993,YR1993,Romania,ROU,22763280,10997.264832961,117700
1993,YR1993,San Marino,SMR,24181,..,..
1993,YR1993,Slovak Republic,SVK,5325305,11840.4792595749,44320
1993,YR1993,Slovenia,SVN,1991746,..,13560
1993,YR1993,Spain,ESP,39361262,27843.8593467468,218080
1993,YR1993,Sweden,SWE,8718561,32086.0126428301,56500
1993,YR1993,Switzerland,CHE,6938265,54555.2787822444,43450
1993,YR1993,United Kingdom,GBR,57718614,31832.8183481179,541380
1994,YR1994,Andorra,AND,61037,..,410
1994,YR1994,Austria,AUT,7936118,39435.210024783,58280
1994,YR1994,Belgium,BEL,10115603,36981.4489459975,114900
1994,YR1994,Croatia,HRV,4652024,..,14870
1994,YR1994,Czechia,CZE,10333587,21356.3127969696,124710
1994,YR1994,Denmark,DNK,5206180,41969.6887111547,63200
1994,YR1994,Estonia,EST,1462514,..,17820
1994,YR1994,Finland,FIN,5088333,30340.8238404135,59930
1994,YR1994,France,FRA,59327585,34576.319428202,344400
1994,YR1994,Germany,DEU,81438348,38881.5691219288,875900
1994,YR1994,Greece,GRC,10512922,24522.5259874915,79730
1994,YR1994,Greenland,GRL,55500,..,..
1994,YR1994,Hungary,HUN,10343355,16348.5314766891,57780
1994,YR1994,Iceland,ISL,266021,..,2090
1994,YR1994,Ireland,IRL,3590386,29901.750009353,32820
1994,YR1994,Italy,ITA,56843400,37855.0077387082,392290
1994,YR1994,Latvia,LVA,2520742,..,10220
1994,YR1994,Liechtenstein,LIE,30447,..,200
1994,YR1994,Lithuania,LTU,3657144,..,14810
1994,YR1994,Luxembourg,LUX,402925,80365.2245079687,10810
1994,YR1994,Monaco,MCO,31253,..,..
1994,YR1994,Netherlands,NLD,15382838,38494.2178517725,157260
1994,YR1994,Norway,NOR,4336613,47541.7667101406,34410
